date,mean_temp_c,precipitation_mm,streamflow_cms,precip_lag1,precip_3day,precip_7day,temp_3day_mean,temp_7day_mean,streamflow_lag1,streamflow_lag3,streamflow_7day_mean,month,day_of_year,target_next_day_streamflow
2020-06-19,17.8,0.9,451.0,0.0,0.9000000000000018,7.700000000000017,16.633333333333336,14.757142857142858,397.0,311.0,382.7142857142857,6,171,715.0
2020-06-20,18.0,11.2,715.0,0.9,12.100000000000001,18.400000000000016,17.533333333333335,15.471428571428573,451.0,343.0,381.7142857142857,6,172,716.0
2020-06-21,17.3,3.2,716.0,11.2,15.3,20.700000000000017,17.7,16.014285714285716,715.0,397.0,419.0,6,173,606.0
2020-06-22,14.3,0.0,606.0,3.2,14.400000000000002,15.300000000000015,16.533333333333335,16.371428571428574,716.0,451.0,468.42857142857144,6,174,748.0
2020-06-23,19.6,3.2,748.0,0.0,6.400000000000002,18.500000000000014,17.066666666666666,17.014285714285712,606.0,715.0,505.57142857142856,6,175,933.0
2020-06-24,18.0,25.0,933.0,3.2,28.200000000000003,43.500000000000014,17.3,17.400000000000002,748.0,716.0,568.0,6,176,749.0
2020-06-25,19.9,0.0,749.0,25.0,28.200000000000003,43.500000000000014,19.166666666666668,17.842857142857145,933.0,606.0,652.2857142857143,6,177,680.0
2020-06-26,17.5,0.7,680.0,0.0,25.700000000000003,43.30000000000002,18.466666666666665,17.8,749.0,748.0,702.5714285714286,6,178,626.0
2020-06-27,17.4,1.4,626.0,0.7,2.100000000000003,33.500000000000014,18.266666666666666,17.714285714285715,680.0,933.0,735.2857142857143,6,179,527.0
2020-06-28,16.4,1.7,527.0,1.4,3.8000000000000034,32.000000000000014,17.099999999999998,17.585714285714285,626.0,749.0,722.5714285714286,6,180,482.0
2020-06-29,17.1,0.0,482.0,1.7,3.100000000000003,32.000000000000014,16.966666666666665,17.985714285714288,527.0,680.0,695.5714285714286,6,181,479.0
2020-06-30,15.7,6.1,479.0,0.0,7.800000000000003,34.90000000000001,16.400000000000002,17.428571428571427,482.0,626.0,677.8571428571429,6,182,467.0
2020-07-01,13.2,2.9,467.0,6.1,9.000000000000004,12.800000000000013,15.333333333333334,16.742857142857144,479.0,527.0,639.4285714285714,7,183,417.0
2020-07-02,13.5,0.5,417.0,2.9,9.500000000000004,13.300000000000013,14.133333333333333,15.828571428571427,467.0,482.0,572.8571428571429,7,184,409.0
2020-07-03,13.5,11.7,409.0,0.5,15.100000000000003,24.30000000000001,13.4,15.257142857142856,417.0,479.0,525.4285714285714,7,185,302.0
2020-07-04,15.0,0.0,302.0,11.7,12.200000000000003,22.900000000000013,14.0,14.914285714285715,409.0,467.0,486.7142857142857,7,186,257.0
2020-07-05,15.4,0.0,257.0,0.0,11.700000000000003,21.20000000000001,14.633333333333333,14.771428571428572,302.0,417.0,440.42857142857144,7,187,295.0
2020-07-06,16.0,0.0,295.0,0.0,0.0,21.20000000000001,15.466666666666667,14.614285714285716,257.0,409.0,401.85714285714283,7,188,341.0
2020-07-07,15.3,0.1,341.0,0.0,0.10000000000000356,15.200000000000014,15.566666666666668,14.557142857142859,295.0,302.0,375.14285714285717,7,189,375.0
2020-07-08,16.2,0.2,375.0,0.1,0.3000000000000036,12.500000000000014,15.833333333333334,14.985714285714286,341.0,257.0,355.42857142857144,7,190,378.0
2020-07-09,16.9,1.7,378.0,0.2,2.0000000000000036,13.700000000000014,16.133333333333333,15.471428571428572,375.0,295.0,342.2857142857143,7,191,410.0
2020-07-10,16.8,0.0,410.0,1.7,1.9000000000000035,2.000000000000014,16.63333333333333,15.942857142857141,378.0,341.0,336.7142857142857,7,192,381.0
2020-07-11,13.9,5.1,381.0,0.0,6.800000000000003,7.100000000000014,15.866666666666667,15.785714285714286,410.0,375.0,336.85714285714283,7,193,486.0
2020-07-12,16.0,0.9,486.0,5.1,6.0000000000000036,8.000000000000014,15.566666666666668,15.87142857142857,381.0,378.0,348.14285714285717,7,194,382.0
2020-07-13,15.6,0.0,382.0,0.9,6.0000000000000036,8.000000000000014,15.166666666666666,15.814285714285713,486.0,410.0,380.85714285714283,7,195,328.0
2020-07-14,17.3,0.0,328.0,0.0,0.9000000000000036,7.900000000000015,16.3,16.099999999999998,382.0,381.0,393.2857142857143,7,196,390.0
2020-07-15,19.1,0.0,390.0,0.0,0.0,7.700000000000014,17.333333333333332,16.514285714285716,328.0,486.0,391.42857142857144,7,197,527.0
2020-07-16,18.4,1.6,527.0,0.0,1.6000000000000036,7.600000000000014,18.266666666666666,16.728571428571428,390.0,382.0,393.57142857142856,7,198,524.0
2020-07-17,18.5,0.6,524.0,1.6,2.2000000000000037,8.200000000000014,18.666666666666668,16.97142857142857,527.0,328.0,414.85714285714283,7,199,489.0
2020-07-18,19.6,0.0,489.0,0.6,2.2000000000000037,3.1000000000000143,18.833333333333332,17.785714285714285,524.0,390.0,431.14285714285717,7,200,478.0
2020-07-19,19.8,0.0,478.0,0.0,0.6000000000000035,2.2000000000000144,19.3,18.32857142857143,489.0,527.0,446.57142857142856,7,201,493.0
2020-07-20,22.4,0.0,493.0,0.0,0.0,2.2000000000000144,20.6,19.3,478.0,524.0,445.42857142857144,7,202,520.0
2020-07-21,22.1,0.0,520.0,0.0,0.0,2.2000000000000144,21.433333333333337,19.985714285714288,493.0,489.0,461.2857142857143,7,203,521.0
